,Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_NAS,AvDryMatter%,N%(dry)_NAS,Protein%(dry)_NAS,,N
260,"Date palm, for fruit",Phoenix dactylifera,PHDA4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,22.5,0.406709677,0.051612903,0.842580645,15,63.57021505,77.5,2.141487225,13.38627753,,0
261,"Eggplant, for fruit",Solanum melongena,SOME,"N,P,K",Fruit,Vegetable,lb of fruit ,1,93,2.514285714,0.313571429,3,33,63.57021505,7,2.141487225,13.38627753,,0
262,Elderberry,Sambucus sp.,SAMBU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.8,0.522772277,0.193069307,1.386138614,11,63.57021505,20.2,2.141487225,13.38627753,,0
263,"Elephantgrass, for silage",Pennisetum purpureum,PEPU2,"N,P",Aboveground biomass,Forage,ton,2000,74.7,0.768,0.31,#DIV/0!,"2,000",25.3,25.3,0.768,4.8,,0
264,"Elephantgrass, for silage (mature)",Pennisetum purpureum,PEPU2,"N,P,K",Aboveground biomass,Forage,ton,2000,70.45,0.682547264,0.3,3.18,"2,000",25.5,29.55,0.688,4.3,,0
265,"Elephantgrass, for silage (vegetative)",Pennisetum purpureum,PEPU2,"N,P,K",Aboveground biomass,Forage,ton,2000,79.8,0.888174204,0.44,2.32,"2,000",19.9,20.2,0.88,5.5,,0
266,"Endive (Chicory), for immature leaf",Cichorium endivia,CIEN,"N,P,K",Leafy head,Vegetable,lb of leaf,1,95,4.16,0.45,5.6,25,63.57021505,5,2.141487225,13.38627753,,0
267,"Escarole, for leaf",Cichorium endivia,CIEN,"N,P,K",Leafy head,Vegetable,lb of leaf,1,94,3.2,0.233333333,4,25,63.57021505,6,2.141487225,13.38627753,,0
268,"Fescue, for green chop",Festuca or Lolium sp.,"FESTU, LOLIU","N,P",Aboveground biomass,Forage,ton,2000,64,1.161777778,0.25,#DIV/0!,"2,000",36,36,0.768,4.8,,0
269,"Fescue, for green chop (early bloom)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,71,2.36,0.37,1.92,"2,000",29,29,2.448,15.3,,0
270,"Fescue, for green chop (early vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,73.9,2.752,0.4,2.13,"2,000",26.1,26.1,2.752,17.2,,0
271,"Fescue, for green chop (late bloom)",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,64,1.536,#DIV/0!,#DIV/0!,"2,000",36,36,1.536,9.6,,0
272,"Fescue, for green chop (mature)",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,64,1.072,#DIV/0!,#DIV/0!,"2,000",36,36,1.072,6.7,,0
273,"Fescue, for green chop (over ripe)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,64,0.608,0.11,0.9,"2,000",36,36,0.608,3.8,,0
274,"Fescue, for hay",Festuca or Lolium sp.,"FESTU, LOLIU",N,Aboveground biomass,Forage,ton,2000,10,1.511111111,#DIV/0!,#DIV/0!,"2,000",63.57021505,90,2.141487225,13.38627753,,0
275,"Fescue, for hay (early bloom)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,11.95,1.776,0.24,1.7,"2,000",85.4,88.05,1.36,8.5,,0
276,"Fescue, for hay (early vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,9,1.984,0.36,2.3,"2,000",63.57021505,91,2.141487225,13.38627753,,0
277,"Fescue, for hay (late vegetative)",Festuca or Lolium sp.,"FESTU, LOLIU","N,P,K",Aboveground biomass,Forage,ton,2000,7.3,2.896,0.34,2,"2,000",63.57021505,92.7,2.141487225,13.38627753,,0
278,"Fescue-Meadow, for hay",Lolium pratense,LOPR7,N,Aboveground biomass,Forage,ton,2000,11.6,1.194570136,#DIV/0!,#DIV/0!,"2,000",63.57021505,88.4,2.141487225,13.38627753,,0
279,"Fescue-Tall, for green chop",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,70.5,2.336,0.37,#DIV/0!,"2,000",29.5,29.5,2.368,14.8,,0
280,"Fescue-Tall, for green chop (early bloom)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,71.4,2.672,0.37,#DIV/0!,"2,000",28.6,28.6,2.672,16.7,,0
281,"Fescue-Tall, for green chop (early bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,71.4,2.176,#DIV/0!,#DIV/0!,"2,000",28.6,28.6,2.176,13.6,,0
282,"Fescue-Tall, for green chop (early vegetative)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,73.2,3.376,0.39,4.48,"2,000",27.6,26.8,3.536,22.1,,0
283,"Fescue-Tall, for green chop (full bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75,1.44,#DIV/0!,#DIV/0!,"2,000",63.57021505,25,1.44,9,,0
284,"Fescue-Tall, for green chop (late vegetative)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,73.7,3.218,0.39,#DIV/0!,"2,000",27.6,26.3,3.536,22.1,,0
285,"Fescue-Tall, for green chop (late vegetative) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,76.1,2.896,#DIV/0!,#DIV/0!,"2,000",23.9,23.9,2.896,18.1,,0
286,"Fescue-Tall, for green chop (mature)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,75,1.1,0.25,1.82,"2,000",63.57021505,25,2.141487225,13.38627753,,0
287,"Fescue-Tall, for green chop (mature) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75,1.072,#DIV/0!,#DIV/0!,"2,000",63.57021505,25,1.072,6.7,,0
288,"Fescue-Tall, for green chop (mid bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,75,1.7,0.29,2.06,"2,000",63.57021505,25,2.141487225,13.38627753,,0
289,"Fescue-Tall, for green chop (mid bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,75,1.68,#DIV/0!,#DIV/0!,"2,000",63.57021505,25,1.68,10.5,,0
290,"Fescue-Tall, for green chop (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,70.5,1.856,#DIV/0!,#DIV/0!,"2,000",29.5,29.5,1.856,11.6,,0
291,"Fescue-Tall, for hay (early bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,8,3.144,0.26,1.96,"2,000",63.57021505,92,3.104,19.4,,0
292,"Fescue-Tall, for hay (early vegetative)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,7.9,3.248,0.51,2.36,"2,000",63.57021505,92.1,2.141487225,13.38627753,,0
293,"Fescue-Tall, for hay (full bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,8.4,2.312,0.32,2.36,"2,000",63.57021505,91.6,2.464,15.4,,0
294,"Fescue-Tall, for hay (full bloom) (Pacific coast)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,8.4,0.752,#DIV/0!,#DIV/0!,"2,000",63.57021505,91.6,0.752,4.7,,0
295,"Fescue-Tall, for hay (late vegetative)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,15,3.062,#DIV/0!,#DIV/0!,"2,000",63.57021505,85,3.424,21.4,,0
296,"Fescue-Tall, for hay (late vegetative) (Pacific coast)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,4.4,2.144,0.24,#DIV/0!,"2,000",95.6,95.6,2.144,13.4,,0
297,"Fescue-Tall, for hay (mature)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,12.5,1.714666667,0.3,1.96,"2,000",63.57021505,87.5,2.336,14.6,,0
298,"Fescue-Tall, for hay (mid bloom)",Lolium arundinaceum,LOAR10,"N,P,K",Aboveground biomass,Forage,ton,2000,11.4,2.174666667,0.29,2.06,"2,000",63.57021505,88.6,2.352,14.7,,0
299,"Fescue-Tall, for hay (over ripe)",Lolium arundinaceum,LOAR10,N,Aboveground biomass,Forage,ton,2000,8,1.448,#DIV/0!,#DIV/0!,"2,000",63.57021505,92,1.52,9.5,,0
300,"Fescue-Tall, for hay (Pacific coast)",Lolium arundinaceum,LOAR10,"N,P",Aboveground biomass,Forage,ton,2000,11,1.392,0.24,#DIV/0!,"2,000",89,89,1.392,8.7,,0
301,Fig,Ficus carica,FICA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,79.11,0.57443753,0.067017712,1.110579225,8,63.57021505,20.89,2.141487225,13.38627753,,0
302,"Filbert or Hazelnut, dry",Corylus sp.,CORYL,"N,P,K",Nut,Tree and fruit,lb of nut,1,5.42,2.205963206,0.329879467,0.470501163,1,63.57021505,94.58,2.141487225,13.38627753,,0
303,"Flax, for seed",LInum usitatissimum,LIUS,"N,P,K",Seed,Cereal and oil,bu,56,6.14,3.703563326,0.566092751,0.844072495,56,93.2,93.86,3.968,24.8,,0
304,"Flax, for straw",LInum usitatissimum,LIUS,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,80,6.94,1.112342909,0.084439655,1.741422414,56,92.9,93.06,1.248,7.8,,0
305,"Gamagrass-Eastern, for hay (inflorescence to anthesis, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.996,0.265,2.02,"2,000",89.15,89.15,2.141487225,13.38627753,,0
306,"Gamagrass-Eastern, for hay (seed ripening, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.685,0.265,2.02,"2,000",89.15,89.15,2.141487225,13.38627753,,0
307,"Gamagrass-Eastern, for hay (vegetative, cut>1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.69212,0.395,2.64,"2,000",89.15,89.15,1.936,12.1,,0
308,"Gamagrass-Eastern, for hay (boot, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,2.28,0.265,2.02,"2,000",89.15,89.15,2.141487225,13.38627753,,0
309,"Gamagrass-Eastern, for hay (maturity, cut 1)",Tripsacum dactyloides,TRDA3,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.51,0.095,3.06,"2,000",89.15,89.15,2.141487225,13.38627753,,0
310,Garlic,Allium sativum,ALSA2,"N,P,K",Bulb,Vegetable,lb of fruit ,1,61,2.625641026,0.44,1.384615385,30,63.57021505,39,2.141487225,13.38627753,,0
311,Ginkgo Nut or Maidenhair Tree Nut,Ginkgo biloba,GIBI2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,55.2,1.542857143,0.276785714,1.138392857,1,63.57021505,44.8,2.141487225,13.38627753,,0
312,Gooseberry,Ribes sp.,RIBES,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.87,1.16075845,0.222588623,1.632316571,11,63.57021505,12.13,2.141487225,13.38627753,,0
313,Grape-American type,Vitis sp.,VITIS,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,80.65,0.569518717,0.053475936,1.021390374,1,63.57021505,19.35,2.141487225,13.38627753,,0
314,Grape-European type,Vitis vinifera,VIVI5,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,80.28,0.571604938,0.066872428,0.951646091,1,63.57021505,19.72,2.141487225,13.38627753,,0
315,Grapefruit-Pink & Red (all areas),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.38,1.020881671,0.104408353,1.496519722,65,63.57021505,8.62,2.141487225,13.38627753,,0
316,Grapefruit-Pink & Red (California & Arizona),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.31,0.748362956,0.112254443,1.375116932,65,63.57021505,10.69,2.141487225,13.38627753,,0
317,Grapefruit-Pink & Red (Florida),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.56,1.042654028,0.106635071,1.504739337,80,63.57021505,8.44,2.141487225,13.38627753,,0
318,"Grapefruit-Pink, Red, & White (all areas)",Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.89,1.1064764,0.087815587,1.525795829,65,63.57021505,9.11,2.141487225,13.38627753,,0
319,Grapefruit-White (all areas),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.48,1.159663866,0.084033613,1.554621849,65,63.57021505,9.52,2.141487225,13.38627753,,0
320,Grapefruit-white (California),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.58,1.351247601,0.115163148,1.372360845,65,63.57021505,10.42,2.141487225,13.38627753,,0
321,Grapefruit-white (Florida),Citrus X paradisi,CIPA3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,90.76,1.090909091,0.075757576,1.623376623,80,63.57021505,9.24,2.141487225,13.38627753,,0
322,"Grass + Clover-Red, for hay","Poaceae, Trifolium pratense",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.6,2.272,0.23,1.42,"2,000",88.1,88.4,2.24,14,,0
323,"Grass + Clover-Red, for hay (full bloom)","Poaceae, Trifolium pratense",TRPR2,N,Aboveground biomass,Forage,ton,2000,11.3,2.528,#DIV/0!,#DIV/0!,"2,000",88.7,88.7,2.528,15.8,,0
324,"Grass + Clover-Red, for hay (mature)","Poaceae, Trifolium pratense",TRPR2,"N,P",Aboveground biomass,Forage,ton,2000,8.6,1.776,0.25,#DIV/0!,"2,000",91.4,91.4,1.776,11.1,,0
325,"Grass + Clover-Red, for hay (mid bloom)","Poaceae, Trifolium pratense",TRPR2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.8,2.656,0.23,1.59,"2,000",89.2,89.2,2.656,16.6,,0
326,"Grass + Clover-White-Ladino type, for green chop","Poaceae, Trifolium repens",TRRE3,"N,P",Aboveground biomass,Forage,ton,2000,80,2.8,0.4,#DIV/0!,"2,000",20,20,2.8,17.5,,0
327,"Grass + Clover-White-Ladino type, for green chop (early bloom)","Poaceae, Trifolium repens",TRRE3,N,Aboveground biomass,Forage,ton,2000,80,2.448,#DIV/0!,#DIV/0!,"2,000",20,20,2.448,15.3,,0
328,"Grass + Clover-White-Ladino type, for hay","Poaceae, Trifolium repens",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,11.25,2.918278596,0.227587769,1.962627407,"2,000",89.2,88.75,2.96,18.5,,0
329,"Grass + Clover-White-Ladino type, for hay (mature)","Poaceae, Trifolium repens",TRRE3,"N,P,K",Aboveground biomass,Forage,ton,2000,8.5,1.808,0.22,1.75,"2,000",91.5,91.5,1.808,11.3,,0
330,"Grass, for green chop",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,72.5,2.503933571,0.256761566,1.969584816,"2,000",32.1,27.5,2.496,15.6,,0
331,"Grass, for green chop (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,71.8,1.644813853,0.228636364,1.330584416,"2,000",30.8,28.2,1.552,9.7,,0
332,"Grass, for green chop (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,52.1,0.977023697,0.05,#DIV/0!,"2,000",53.6,47.9,0.864,5.4,,0
333,"Grass, for hay",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,10.9,1.518606742,0.218988764,1.449578652,"2,000",89.3,89.1,1.536,9.6,,0
334,"Grass, for hay (early bloom)",Poaceae,None,P,Aboveground biomass,Forage,ton,2000,10.6,#DIV/0!,0.28,#DIV/0!,"2,000",89.4,89.4,2.141487225,13.38627753,,0
335,"Grass, for hay (full bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,10.85,1.536,0.24,1.34,"2,000",89.3,89.15,1.52,9.5,,0
336,"Grass, for hay (mature)",Poaceae,None,"N,P",Aboveground biomass,Forage,ton,2000,9.57,0.842666667,0.16,#DIV/0!,"2,000",90.9,90.43,0.56,3.5,,0
337,"Grass, for silage, (early bloom)",Poaceae,None,"N,P,K",Aboveground biomass,Forage,ton,2000,75.1,1.84,0.32,1.88,"2,000",23.4,24.9,1.936,12.1,,0
338,Groundcherry,Physalis sp.,None,"N,P",Fruit,Tree and fruit,lb of fruit,1,85.4,2.082191781,0.273972603,#DIV/0!,1,63.57021505,14.6,2.141487225,13.38627753,,0
339,"Guar, for green chop (mature)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,80.8,1.904,0.16,1.91,"2,000",19.2,19.2,1.904,11.9,,0
340,"Guar, for green chop (pre bloom)",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,80.8,2.56,#DIV/0!,#DIV/0!,"2,000",19.2,19.2,2.56,16,,0
341,"Guar, for green chop (vegetative)",Cyamopsis tetragonoloba,CYTE11,"N,P,K",Aboveground biomass,Forage,ton,2000,81,2.336,0.17,1.92,"2,000",63.57021505,19,2.336,14.6,,0
342,"Guar, for hay",Cyamopsis tetragonoloba,CYTE11,N,Aboveground biomass,Forage,ton,2000,8.05,2.664,#DIV/0!,#DIV/0!,"2,000",91.9,91.95,2.768,17.3,,0
343,Guava-Common,Psidium guajava,PSGU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,86.1,0.943884892,0.179856115,2.043165468,10,63.57021505,13.9,2.141487225,13.38627753,,0
344,Guava-Strawberry,Psidium cattleianum,PSCA,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,80.66,0.47983454,0.139607032,1.509824199,10,63.57021505,19.34,2.141487225,13.38627753,,0
345,Hickory Nut (dry),Carya sp.,CARYA,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.65,2.090600925,0.345146379,0.447868516,1,63.57021505,97.35,2.141487225,13.38627753,,0
346,Jackfruit,Artocarpus heterophyllus,ARHE2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,72.23,0.846957148,0.129636298,1.09110551,1,63.57021505,27.77,2.141487225,13.38627753,,0
347,Java-plum,Syzygium cumini,SYCU,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,83.13,0.682868998,0.100770599,0.4682869,1,63.57021505,16.87,2.141487225,13.38627753,,0
348,"Jojoba, for seed",Simmondsia chinensis,SICH,N,Seed,Fiber and miscellaneous,lb of seed,1,4.9,2.368,#DIV/0!,#DIV/0!,1,95.1,95.1,2.368,14.8,,0
349,Jujube-Common,Ziziphus zizyphus,ZIZI,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,77.86,0.867208672,0.103884372,1.129177958,1,63.57021505,22.14,2.141487225,13.38627753,,0
350,"Kale, for leaf",Brassica oleracea,BROL,"N,P,K",Leaf,Vegetable,lb of leaf,1,85,3.52,0.373333333,2.666666667,35,63.57021505,15,2.141487225,13.38627753,,0
351,"Kale, for green chop",Brassica oleracea,BROL,"N,P,K",Stem and leaf,Forage,lb of leaf,1,88.53,3.398779661,0.529491525,3.03,35,11.6,11.47,3.328,20.8,,0
352,Kiwi,Actinidia deliciosa,not in PLANTS,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,83.05,0.934513274,0.235988201,1.958702065,125,63.57021505,16.95,2.141487225,13.38627753,,0
353,Kohlrabi,Brassica oleracea var. gongylodes,BROLG2,"N,P,K",Stem,Vegetable,lb of stem,1,91,3.022222222,0.511111111,3.888888889,1,63.57021505,9,2.141487225,13.38627753,,0
354,Kumquat,Fortunella sp.,FORTU,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.7,0.786885246,0.103825137,1.065573771,22,63.57021505,18.3,2.141487225,13.38627753,,0
355,Leek,Allium porrum,ALPO2,"N,P,K",Bulb,Vegetable,lb of fruit ,1,83,1.411764706,0.205882353,1.058823529,20,63.57021505,17,2.141487225,13.38627753,,0
356,Lemon,Citrus limon,CILI,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.2,1.511904762,0.119047619,1.150793651,79,63.57021505,12.8,2.141487225,13.38627753,,0
357,"Lentil-Common, for seed",Lens culinaris,LECU2,"N,P,K",Seed,Vegetable,lb of seed,1,11.33,4.362666667,0.426666667,0.856666667,60,88.5,88.67,4.48,28,,0
358,"Lespedeza-Korean, for hay (early bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,6.1,2.448,#DIV/0!,#DIV/0!,"2,000",93.9,93.9,2.448,15.3,,0
359,"Lespedeza-Korean, for hay (full bloom)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9,2.288,0.24,0.96,"2,000",91,91,2.288,14.3,,0
360,"Lespedeza-Korean, for hay (pre bloom)",Kummerowia stipulacea,KUST,N,Aboveground biomass,Forage,ton,2000,13,1.984,#DIV/0!,#DIV/0!,"2,000",87,87,1.984,12.4,,0
361,"Lespedeza-Korean, for hay (vegetative)",Kummerowia stipulacea,KUST,"N,P,K",Aboveground biomass,Forage,ton,2000,9.6,2.544,0.21,1.05,"2,000",90.4,90.4,2.544,15.9,,0
362,"Lespedeza-Sericea, for hay",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,10,2.221865471,0.248318386,1.099327354,"2,000",90.8,90,2.224,13.9,,0
363,"Lespedeza-Sericea, for hay (cut 2)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.6,2.304,0.23,1.01,"2,000",91.4,91.4,2.304,14.4,,0
364,"Lespedeza-Sericea, for hay (cut 3)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,8.2,2.416,0.23,0.93,"2,000",91.8,91.8,2.416,15.1,,0
365,"Lespedeza-Sericea, for hay (early bloom)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.4,2.752,0.26,0.69,"2,000",94.6,94.6,2.752,17.2,,0
366,"Lespedeza-Sericea, for hay (full boom)",Lespedeza cuneata,LECU,"N,P",Aboveground biomass,Forage,ton,2000,5.6,2.432,0.22,#DIV/0!,"2,000",94.4,94.4,2.432,15.2,,0
367,"Lespedeza-Sericea, for hay (mid bloom)",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,2000,7.2,2.704,#DIV/0!,#DIV/0!,"2,000",92.8,92.8,2.704,16.9,,0
368,"Lespedeza-Sericea, for hay (vegetative)",Lespedeza cuneata,LECU,"N,P,K",Aboveground biomass,Forage,ton,2000,5.8,2.976,0.27,0.99,"2,000",94.2,94.2,2.976,18.6,,0
369,"Lespedeza-Sericea, for seed",Lespedeza cuneata,LECU,N,Aboveground biomass,Forage,ton,100,7.7,5.807575298,#DIV/0!,#DIV/0!,100,92.3,92.3,5.808,36.3,,0
370,"Lespedeza-Striate, for hay",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11,2.496,0.29,1.37,"2,000",63.57021505,89,2.141487225,13.38627753,,0
371,"Lespedeza-Striate, for hay (early bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,9,2.608,0.24,1.1,"2,000",63.57021505,91,2.141487225,13.38627753,,0
372,"Lespedeza-Striate, for hay (full bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,10.87,2.264,0.206666667,1.036666667,"2,000",89.1,89.13,2.24,14,,0
373,"Lespedeza-Striate, for hay (mid bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,8,2.016,0.183333333,1.033333333,"2,000",94.2,92,2.141487225,13.38627753,,0
374,"Lespedeza-Striate, for hay (pre bloom)",Kummerowia striata,KUST2,"N,P,K",Aboveground biomass,Forage,ton,2000,11.07,2.56,0.266666667,1.213333333,"2,000",89.1,88.93,2.56,16,,0
375,"Lettuce-Butterhead or Curled, for leaf",Lactuca sativa L. var. crispa,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,96,4.8,0.775,6.75,50,63.57021505,4,2.141487225,13.38627753,,0
376,"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf",Lactuca sativa L. var. capitata,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,95,2.56,0.5,2,50,63.57021505,5,2.141487225,13.38627753,,0
377,"Lettuce-Head, for head",Lactuca sativa,LASA3,"N,P,K",Head,Vegetable,lb of leaf,1,94.8,3.81,0.48,4.52,50,5.4,5.2,3.52,22,,0
378,"Lettuce-Romaing or Cos, for leaf",Lactuca sativa var. longifolia,not in PLANTS,"N,P,K",Head,Vegetable,lb of leaf,1,94,4.266666667,0.75,6.666666667,28,63.57021505,6,2.141487225,13.38627753,,0
379,Lime,Citrus aurantiifolia,CIAU4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.26,0.954003407,0.153321976,0.868824532,80,63.57021505,11.74,2.141487225,13.38627753,,0
380,Longan,Dimocarpus longan,DILO7,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,82.75,1.215072464,0.12173913,1.542028986,1,63.57021505,17.25,2.141487225,13.38627753,,0
381,Loquat,Eriobotrya japonica,ERJA3,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.73,0.518462698,0.203466466,2.004521477,1,63.57021505,13.27,2.141487225,13.38627753,,0
382,Lychee Nut,Litchi chinensis,LICH4,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.76,0.728070175,0.16995614,0.9375,15,63.57021505,18.24,2.141487225,13.38627753,,0
383,Macadamia Nut (dry),Macadamia integrifolia,MAIN8,"N,P,K",Nut,Tree and fruit,lb of nut,1,2.88,1.36738056,0.140032949,0.378912685,1,63.57021505,97.12,2.141487225,13.38627753,,0
384,Mammee apple,Mammea americana,MAAM2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,86.2,0.579710145,0.079710145,0.34057971,1,63.57021505,13.8,2.141487225,13.38627753,,0
385,Mango,Mangifera indica,MAIN3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,81.71,0.446145435,0.060142154,0.852925096,10,63.57021505,18.29,2.141487225,13.38627753,,0
386,Melon-Canteloupe,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,89.89,1.488845401,0.362113503,3.161741683,40,63.57021505,10.11,2.141487225,13.38627753,,0
387,Melon-Casaba,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,92,1.5,0.0875,2.625,30,63.57021505,8,2.141487225,13.38627753,,0
388,Melon-Honeydew,Cucumis melo,CUME,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,88.33,0.909745574,0.164801369,2.579675644,30,63.57021505,11.67,2.141487225,13.38627753,,0
389,Melon-Waternelon,Citrullus lanatus,CILA3,"N,P,K",Fruit,Tree and fruit,cwt,100,90.84,1.113580683,0.112002356,1.333156655,100,63.57021505,9.16,2.141487225,13.38627753,,0
390,"Millet-Foxtail, for grain",Setaria italica,SEIT,"N,P,K",Floret,Cereal and oil,bu,50,10.62,2.1127641,0.343616723,0.349307894,50,89.3,89.38,2.16,13.5,,0
